anime_id,name,genre,type,comb
32281,Kimi no Na wa.,"drama, romance, school, supernatural",movie,"drama, romance, school, supernatural movie"
5114,Fullmetal Alchemist: Brotherhood,"action, adventure, drama, fantasy, magic, military, shounen",tv,"action, adventure, drama, fantasy, magic, military, shounen tv"
28977,Gintama°,"action, comedy, historical, parody, samurai, sci-fi, shounen",tv,"action, comedy, historical, parody, samurai, sci-fi, shounen tv"
9253,Steins;Gate,"sci-fi, thriller",tv,"sci-fi, thriller tv"
9969,Gintama&#039;,"action, comedy, historical, parody, samurai, sci-fi, shounen",tv,"action, comedy, historical, parody, samurai, sci-fi, shounen tv"
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"comedy, drama, school, shounen, sports",tv,"comedy, drama, school, shounen, sports tv"
11061,Hunter x Hunter (2011),"action, adventure, shounen, super power",tv,"action, adventure, shounen, super power tv"
820,Ginga Eiyuu Densetsu,"drama, military, sci-fi, space",ova,"drama, military, sci-fi, space ova"
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"action, comedy, historical, parody, samurai, sci-fi, shounen",movie,"action, comedy, historical, parody, samurai, sci-fi, shounen movie"
15417,Gintama&#039;: Enchousen,"action, comedy, historical, parody, samurai, sci-fi, shounen",tv,"action, comedy, historical, parody, samurai, sci-fi, shounen tv"
4181,Clannad: After Story,"drama, fantasy, romance, slice of life, supernatural",tv,"drama, fantasy, romance, slice of life, supernatural tv"
28851,Koe no Katachi,"drama, school, shounen",movie,"drama, school, shounen movie"
918,Gintama,"action, comedy, historical, parody, samurai, sci-fi, shounen",tv,"action, comedy, historical, parody, samurai, sci-fi, shounen tv"
2904,Code Geass: Hangyaku no Lelouch R2,"action, drama, mecha, military, sci-fi, super power",tv,"action, drama, mecha, military, sci-fi, super power tv"
28891,Haikyuu!! Second Season,"comedy, drama, school, shounen, sports",tv,"comedy, drama, school, shounen, sports tv"
199,Sen to Chihiro no Kamikakushi,"adventure, drama, supernatural",movie,"adventure, drama, supernatural movie"
23273,Shigatsu wa Kimi no Uso,"drama, music, romance, school, shounen",tv,"drama, music, romance, school, shounen tv"
24701,Mushishi Zoku Shou 2nd Season,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural",tv,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural tv"
12355,Ookami Kodomo no Ame to Yuki,"fantasy, slice of life",movie,"fantasy, slice of life movie"
1575,Code Geass: Hangyaku no Lelouch,"action, mecha, military, school, sci-fi, super power",tv,"action, mecha, military, school, sci-fi, super power tv"
263,Hajime no Ippo,"comedy, drama, shounen, sports",tv,"comedy, drama, shounen, sports tv"
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"action, drama, historical, martial arts, romance, samurai",ova,"action, drama, historical, martial arts, romance, samurai ova"
1,Cowboy Bebop,"action, adventure, comedy, drama, sci-fi, space",tv,"action, adventure, comedy, drama, sci-fi, space tv"
30276,One Punch Man,"action, comedy, parody, sci-fi, seinen, super power, supernatural",tv,"action, comedy, parody, sci-fi, seinen, super power, supernatural tv"
164,Mononoke Hime,"action, adventure, fantasy",movie,"action, adventure, fantasy movie"
7311,Suzumiya Haruhi no Shoushitsu,"comedy, mystery, romance, school, sci-fi, supernatural",movie,"comedy, mystery, romance, school, sci-fi, supernatural movie"
17074,Monogatari Series: Second Season,"comedy, mystery, romance, supernatural, vampire",tv,"comedy, mystery, romance, supernatural, vampire tv"
21939,Mushishi Zoku Shou,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural",tv,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural tv"
457,Mushishi,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural",tv,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural tv"
2001,Tengen Toppa Gurren Lagann,"action, adventure, comedy, mecha, sci-fi",tv,"action, adventure, comedy, mecha, sci-fi tv"
245,Great Teacher Onizuka,"comedy, drama, school, shounen, slice of life",tv,"comedy, drama, school, shounen, slice of life tv"
32983,Natsume Yuujinchou Go,"drama, fantasy, shoujo, slice of life, supernatural",tv,"drama, fantasy, shoujo, slice of life, supernatural tv"
5258,Hajime no Ippo: New Challenger,"comedy, drama, shounen, sports",tv,"comedy, drama, shounen, sports tv"
28957,Mushishi Zoku Shou: Suzu no Shizuku,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural",movie,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural movie"
11665,Natsume Yuujinchou Shi,"drama, fantasy, shoujo, slice of life, supernatural",tv,"drama, fantasy, shoujo, slice of life, supernatural tv"
431,Howl no Ugoku Shiro,"adventure, drama, fantasy, romance",movie,"adventure, drama, fantasy, romance movie"
11741,Fate/Zero 2nd Season,"action, fantasy, supernatural, thriller",tv,"action, fantasy, supernatural, thriller tv"
31757,Kizumonogatari II: Nekketsu-hen,"action, mystery, supernatural, vampire",movie,"action, mystery, supernatural, vampire movie"
19,Monster,"drama, horror, mystery, police, psychological, seinen, thriller",tv,"drama, horror, mystery, police, psychological, seinen, thriller tv"
12365,Bakuman. 3rd Season,"comedy, drama, romance, shounen",tv,"comedy, drama, romance, shounen tv"
1535,Death Note,"mystery, police, psychological, supernatural, thriller",tv,"mystery, police, psychological, supernatural, thriller tv"
32366,Gintama°: Aizome Kaori-hen,"comedy, parody",ova,"comedy, parody ova"
30654,Ansatsu Kyoushitsu (TV) 2nd Season,"action, comedy, school, shounen",tv,"action, comedy, school, shounen tv"
20583,Haikyuu!!,"comedy, drama, school, shounen, sports",tv,"comedy, drama, school, shounen, sports tv"
